Ref,Val,Package,PosX,PosY,Rot,Side
"R47","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.430000,66.840000,-90.000000,top
"R48","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.597000,30.814000,0.000000,top
"R49","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.897000,46.214000,-90.000000,top
"SW2","BOOTSEL","SW_PUSH_6mm",60.435000,8.495000,0.000000,top
"SW3","RESET","SW_PUSH_6mm",71.155000,8.495000,0.000000,top
"SW4","USER_A","SW_PUSH_6mm",20.950000,8.650000,0.000000,top
"SW5","USER_B_PWR","SW_PUSH_6mm",31.350000,8.650000,0.000000,top
"SW6","SW_SPDT","SW_E-Switch_EG1271_SPDT",5.100000,85.792500,90.000000,top
"U2","MCP73831-2-OT","SOT-23-5",40.409500,55.600000,0.000000,top
"U3","BQ29700DSER","WSON-6_1.5x1.5mm_P0.5mm",14.156000,75.463000,-90.000000,top
"U4","TLV62568DBVR","SOT-23-5",15.385000,57.424000,-90.000000,top
"U5","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",19.400000,18.400000,180.000000,top
"U6","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",28.400000,29.000000,90.000000,top
"U7","PCF8523T","SOIC-8_3.9x4.9mm_P1.27mm",53.905000,50.625000,-90.000000,top
"U8","FJ2481CH","7-Seg-CC28-FJ2481CH",66.150000,84.863000,0.000000,top
"U9","FJ2481CH","7-Seg-CC28-FJ2481CH",66.150000,73.339000,0.000000,top
"U10","TM1638","SOIC127P1041X265-28N",76.945000,52.600000,90.000000,top
"Y1","ABM8-272-T3","XTAL_ABM8-272-T3",43.500000,28.537500,0.000000,top
"Y2","ABS07AIG-32.768KHZ-7-T","Crystal_SMD_3215-2Pin_3.2x1.5mm",55.410000,56.150000,180.000000,top
